Country,Population,DALY,Year,strain,avail_drug_list,avail_drug_col_list,drug_mapping,strain_prevalence,strain_pct,strain_treat_covg_pct,AZM,Impact_AZM,Total_impact
Dominican Republic,10528394.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.0412,0.7895,0.0,0.0
Ecuador,16144368.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Egypt,93778172.0,943.0450744,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},1736759.0,1,0.1157,0.47,54.21482596,54.21482596
El Salvador,6312478.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Equatorial Guinea,1175389.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Eritrea,,93.35760474,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},1076700.0,1,0.691,0.8583,136.0762737,136.0762737
Estonia,1315407.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Ethiopia,99873033.0,35165.35,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},69802693.0,1,0.7145,0.8583,55757.93455,55757.93455
Fiji,892149.0,6.081467307,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},911449.0,1,0.3122,0.7895,1.989676568,1.989676568
Finland,5479531.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
France,66624068.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
French Polynesia,277690.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Gabon,1930175.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3836,0.8583,0.0,0.0
Gambia,1977590.0,59.0177851,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.83,0.0,0.0
Georgia,3717100.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Germany,81686611.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Ghana,27582821.0,183.8149003,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},0.0,1,0.3836,0.8583,0.0,0.0
Greece,10820883.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Greenland,56114.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.4475,0.8957999999999999,0.0,0.0
Grenada,106823.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.0412,0.7895,0.0,0.0
Guam,161797.0,0.0,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},,1,0.3122,0.7895,0.0,0.0
Guatemala,16252429.0,73.12920958,2010,Trachoma,['AZM'],['AZM'],{'AZM': 'AZM'},116582.0,1,0.0045000000000000005,0.7895,0.2589452203,0.2589452203
